clean_sentence,dyslexic_sentence,error_type
අනික දෙන්න.,අනික ඩෙන්න.,phonetic
මල්ලි අතන වාඩි වෙලා.,මල්ලි අතන වාඩි වෙලා,unknown
ගාල්ලට යනවා.,ගාල්ලට යනව,Spelling
මට කතන්දරයක් කියන්න.,මට කතන්දරයක් කිෙයන්න,Visual Scrambling
මට බය හිතෙනවා.,මට බය හිතනව,Spelling
මම හිතනවා එයා ඒවි කියලා,මං හිතනව එයා ඒවි කියල,grammar
අපි ළඟදීම එනවා,අපි ළඟදීම එනවා,no_error
මම ස්කෝලෙ ගියා,මම ස්කොලෙ ගියා,Spelling
රටට යන්න ඕන,රටට යන්න ඕන,unknown
දුරකථනය නරකයි.,දුරකතනය නරකයි,unknown
පල්ලියේ ඉඩ තියෙනවා.,පල්ෙලිෙය් ඉඩ ඉඩව.,visual
අද ඉස්කෝලේ යන්න බෑ.,අද ඉස්කෝලේ යන්න බෑ.,no_error
පොලිස් ඔෆිසර් ආවා.,පොලිස් ඔපීසර් ආවා.,Spelling
මට කතා කරන්න ඕනෙ.,මට කතා කරන්ඩ ඔනෙ,Phonetic Confusion
පණ්ඩිත කතා කියනවා.,පන්ඩිත කතා කියනව,Phonetic (N/N)
අද ගොඩක් විශේෂයි,අද ගොඩක් වෙසසයි,වෙසසයි -> විශේෂයි
එයා ඉක්මනට එයි.,එයා ඉක්මනට එයි,unknown
එයාගේ තිබුණ පොත් ටික ඔක්කොම නැතුව ගියා.,එයාගේ තිබුණ පොත් ටික ඔක්කොම නැතුව ගියා.,no_error
අද මම ඉස්කෝලේ යන්නේ නෑ.,අද මම ඉස්කෝලේ යන්නේ නෑ.,no_error
උඩ බලාගෙන යන්න.,උඩ බලාගෙන යන්න.,no_error
වෙලාව කීයද බලන්න?,වෙලාව කීයද බලන්න?,no_error
ගන්දරේට යන්න,ගන්දරෙට යන්න,ගන්දරෙට
පළය යන්න.,පලය යන්න,Phonetic (L/L)
දොර ලොක් කරපන්,දොර ලොක් කරපන්,unknown
එයා එන්න බෑ කිව්ව.,එයා එන්නඩෑ කිව්ව.,Visual Reversal
කතාවේ තේරුම මොකක්ද.,කතාවෙ තේරුම මොකක්ද,Spelling
අන්ධකාරයේ ගතිය,අන්දකාරෙය් ගතිය,Phonetic Confusion
පන්සලට ගියාම සන්තිමක් දැනුනා.,පන්සලේට ගියාම සන්තිමක් දැනුනා,Spelling
උදේ පාන්දරින්ම නැගිට්ටා.,උදේ පාන්දරින්ම නැගිට්ට.,Grammar
පන්සලේ ලස්සනයි,පන්සලෙ ලස්සනයි,Spelling
මට පොඩ්ඩක් කල්පනා කරන්න දෙන්න,මට පොඩ්ඩක් කල්පනා කර්න්න දෙන්න,grammar
නූල් බෝලයක්.,ණූල් බෝලයක්.,phonetic
ගාණක් හදනවා ගුරුතුමිය.,ගාණක් හඳනව ගුරුතුමිය.,phonetic
අනික,අනික,unknown
එයාලා බත් කෑවා,එයාල බත් කෑව,grammar
මම ඉක්මනට ගෙදර යනවා.,මම ඉක්මනට ගෙදර යනවා.,no_error
අද මම කඩේට ගියා.,අද මම කඩේට ගියා.,no_error
දුකසේ ඉගෙනගෙන තිබෙනවා.,දුකසේ ඉගෙන ගෙන තිබෙනවා,Grammar
පොඩ්ඩක් ඉන්න මම එන්නම්.,පොඩ්ඩක් ඉන්න මම එන්නම්.,no_error
එයාලා සෙල්ලම් කරලා ගෙදර ගියා.,එයාල සෙල්ලම් කරලා ගෙදර ගියා,Grammar
පාසල ලග ගංගාවක් ඇත,පාසල ලග ගන්ගාවක් ඇත,Phonetic Confusion
ගෙදර ලස්සනයි.,ගෙඩර ලස්සනයි.,visual_scrambling
මම කතාව කියෙව්වා,මම කතව කියෙව්ව,Grammar
කාමරේට ගිහින් නිදාගනින්,රුමෙට ගිහින් නිදා ganin,Phonetic Confusion
දුවගෙන එන්න එපා,දුවගෙන එන්න එපා,unknown
මාමා එනවා කියලා කිව්වා,මාමා එනව කියල කිව්ව,Grammar
දමලය,දමලය,no_error
පූසා ගසේ නැග්ගා.,පූසා ගස්සෙ නැග්ගා.,grammar
අපි හැමෝම එකට සතුටින් ඉමු.,අපි හැමෝම එකට සතුටින් ඉමු,unknown
අනික මම සිනමා ගියා.,අනික මං ගියා සිනමා,Spelling
පළවෙනි පාරට මං එහෙට ගියා,පලවෙනි පාරට මං එහෙට ගියා,Phonetic Confusion
අද මම තරඟයට ගියා.,අද මන් තරම්ස ගියා.,visual_scrambling
මම බත් කෑවෙමි.,මම බඩෙ කෑව.,phonetic
පැල තිය,පැල ලිය,Phonetic Confusion
පන්තියේ ගණන් හැදුවා.,පන්තිෙය් ගණන් හැඩුව.,Grammar
අද ඉඳලා අලුත් වැඩ පටන්ගන්නවා.,අද ඉඳලා අලුත් වැඩ පටන්ගන්නවා.,no_error
"{""correction"": ""අම්මා එනවද කැලේ"", ""analysis"": [{""error"": ""Grammar: Spoken vs. Written"", ""original"": ""අම්ම"", ""corrected"": ""අම්මා"", ""explanation"": ""The word 'අම්ම' was corrected to 'අම්මා' to fix the ending of the subject of the sentence.""}, ]}",අම්ම එනවද කැලේ,unknown
ඉස්කෝලෙ යන්නේ නෑ,ඉස්කොලෙ යන්නෙ නැ,grammar
වළන්ගෙඩි කන්න ආසයි,වලන්ගෙඩි කන්න ආසයි,ල/ළ
අපි බයිසිකල් පදිනවා.,අපි ඩයිසිකල් පදිනවා,Visual Reversal (b/d)
ටීචර් පාඩම කිව්වා,ටීචර් පාඩම කිව්ව,grammar
ඉස්සර දන්නවා,ඉස්සර දන්නවා,no_error
එයා මට බොරු කිව්වා.,එයා මට බොරු කිව.,Grammar
එයාට තෑගි දුන්නා.,එයාට තෑගි දුන්නා.,no_error
අඩක් බාගෙට තියෙනවා,අඩ බාගෙට තියනව,ක/ක්
කිරි බොන එක සතෙකුට හොඳයි.,කිරි බොනව සතෙකුට හොදයි,Spelling
සල්ලි නෑනේ,සල්ලී නැඩ,phonetic confusion
පූසා බළලා,පූස බළලා,phonetic
අද වහිනවනම් හොඳයි,අද වහිනවනම් හොඳයි,no_error
රටම බයලු,රටම බයයිලු,Grammatical inconsistency
ඔය පොත ලග තියෙනව,ඔය පොට ලග තියෙනව,Phonetic Confusion
මල්ලි ගෙදර ආවා.,මල්ලි ගෙදර අවා.,Spelling
දුර ගමනක් යන්න ඕන,දුර ගමනක් යන්න ඕන,no_error
සින්දු වලට අහන්න ලස්සනයි,සින්දු වලට අසන්න ලස්සනයි,Phonetic Confusion
පොත ලිව්වේ කවුද?,පොත ලිව්වේ කවුද?,no_error
මට සනීප නෑ.,මට සනීප නෑ.,no_error
පාට ලස්සනයි.,පාට ලස්සනයි.,no_error
පොතක් ගන්න ඕන,පොත ණයක් ගන්න ඕන,Phonetic Confusion
කරදර,කරදර,none
අලි ඇටේ නැටුවා,අලි ඇටෙ නැටුව,Phonetic Confusion
එයාලා එන්න ඇති.,එයාල එන්න ඇති.,grammar
කවුද දන්නේ ඒ ගැන,කවුද දන්නෙ ඒ ගැන,Grammar
පොතක් ගන්න,පොතක් ගන්ඩ,phonetic confusion
පන්සලට යන්න,පන්සලට යනන,visual scrambling
පැලටිය,පැලැටිය,visual
මං බයික් එකක් ගන්නවා,මං බය්ක් එකක් ගන්නව,unknown
අක්කයි මමයි සින්දු කිව්වා.,අක්කයි මමයි සින්දු කිව්ව.,grammar
මම හිතුවා ඔයා එනවා කියලා.,මම හිතුවා ඔයා එනවා කියලා.,no_error
පත ළය,පත ඩයල,ළ/ල
හෙට ඉස්කෝලෙ නෑ,හෙට ඉස්කෝලෙ නෑ,no_error
කඩේට යන්න ඕනෙද,කඩෙට යන්න ඔනෙඩ,Grammar
පොලිසිය මාව අල්ලගත්තා,පොලිසිය මං අල්ලගත්ත,Grammar
ගොඩක් වටිනවා,ගොඩක් වඩිනවා,visual_reversal
අද නම් ගොඩාක් වැඩ.,අදනම් ගොඩාක් වැඩ.,Phonetic Confusion
අක්කා බත් උයනවා.,අක්කා බත් උයනවා,unknown
අද මම ගෙදර යන්නේ නෑ,අදන මන් ගෙදර යන්නෙ නෑ,unknown
